country,province
Mexico,San Antonio de las Minas Valley
Mexico,San Vicente
Mexico,Valle de Guadalupe
Moldova,Cahul
Moldova,Moldova
Morocco,Morocco
Morocco,Zenata
New Zealand,Awatere Valley
New Zealand,Canterbury
New Zealand,Central Otago
New Zealand,East Coast
New Zealand,Gisborne
New Zealand,Gladstone
New Zealand,Hawke's Bay
New Zealand,Kumeu
New Zealand,Marlborough
New Zealand,Martinborough
New Zealand,Nelson
New Zealand,New Zealand
New Zealand,South Island
New Zealand,Waiheke Island
New Zealand,Waipara
New Zealand,Waipara Valley
New Zealand,Wairarapa
New Zealand,Wairau Valley
New Zealand,Waitaki Valley
Peru,Ica
Portugal,Alentejano
Portugal,Alentejo
Portugal,Bairrada
Portugal,Beira Interior
Portugal,Beiras
Portugal,Colares
Portugal,Douro
Portugal,Duriense
Portugal,Dão
Portugal,Estremadura
Portugal,Lisboa
Portugal,Minho
Portugal,Palmela
Portugal,Península de Setúbal
Portugal,Portuguese Table Wine
Portugal,Ribatejano
Portugal,Tejo
Portugal,Távora-Varosa
Portugal,Vinho Espumante de Qualidade
Portugal,Vinho Verde
Romania,Dealu Mare
Romania,Dealurile Hușilor
Romania,Dealurile Munteniei
Romania,Jidvei
Romania,Murfatlar
Romania,Panciu
Romania,Recas
Romania,Romania
Romania,Sebes
Romania,Tarnave
Romania,Viile Timisului
Romania,Vânju Mare
Serbia,Župa
Slovakia,Muzla
Slovenia,Brda
Slovenia,Dolenjska
Slovenia,Goriska Brda
Slovenia,Primorska
Slovenia,Slovenia
Slovenia,Slovenska Istra
Slovenia,Vipavska Dolina
Slovenia,Štajerska
South Africa,Bot River
South Africa,Breedekloof
South Africa,Cape Agulhas
South Africa,Cape Peninsula
South Africa,Cape South Coast
South Africa,Cederberg
South Africa,Ceres Plateau
South Africa,Coastal Region
South Africa,Constantia
South Africa,Darling
South Africa,Devon Valley
South Africa,Durbanville
South Africa,Eilandia
South Africa,Elgin
South Africa,Elim
South Africa,Franschhoek
South Africa,Groenekloof
South Africa,Hemel en Aarde
South Africa,Jonkershoek Valley
South Africa,Lutzville Valley
South Africa,Northern Cape
South Africa,Olifants River
South Africa,Overberg
South Africa,Paardeberg
South Africa,Paarl
South Africa,Philadelphia
South Africa,Piekenierskloof
South Africa,Robertson
South Africa,Simonsberg-Paarl
South Africa,Simonsberg-Stellenbosch
South Africa,South Africa
South Africa,Stellenbosch
South Africa,Swartland
South Africa,Tulbagh
South Africa,Walker Bay
South Africa,Wellington
South Africa,Western Cape
Spain,Andalucia
Spain,Catalonia
Spain,Central Spain
Spain,Galicia
Spain,Levante
Spain,Northern Spain
Spain,Spain Other
Spain,Spanish Islands
Switzerland,Neuchâtel
Switzerland,Switzerland
Switzerland,Ticino
Turkey,Aegean
Turkey,Cappadocia
Turkey,Elazığ
Turkey,Elazığ-Diyarbakir
Turkey,Thrace
Turkey,Turkey
Turkey,Urla-Thrace
US,America
US,Arizona
US,California
US,Colorado
US,Connecticut
US,Idaho
US,Iowa
US,Kentucky
US,Massachusetts
US,Michigan
US,Missouri
US,Nevada
US,New Jersey
US,New Mexico
US,New York
US,North Carolina
US,Ohio
US,Oregon
US,Pennsylvania
US,Texas
US,Vermont
US,Virginia
US,Washington
US,Washington-Oregon
Ukraine,Ukraine
Uruguay,Atlantida
Uruguay,Canelones
Uruguay,Juanico
Uruguay,Montevideo
Uruguay,Progreso
Uruguay,San Jose
Uruguay,Uruguay
